Time ms,AlphaAbs1,AlphaAbs2,AlphaAbs3,AlphaAbs4
59619,0.543743993,-0.340134796,-0.418857943,0.372175205
59687,0.543743993,-0.333937463,-0.418857943,0.372175205
59832,0.409046912,-0.332994446,-0.418857943,0.363152608
59923,0.409046912,-0.332994446,-0.418857943,0.349556833
59982,0.409046912,-0.344208248,-0.413365728,0.294259595
60126,0.12559497,-0.369010692,-0.428143022,0.15873601
60211,0.12559497,-0.420522726,-0.482834995,-0.046905788
60275,0.12559497,-0.487934781,-0.52729123,-0.267736533
60430,-0.00570057,-0.553921881,-0.575436122,-0.410213689
60488,-0.148890887,-0.593645716,-0.595987764,-0.501548575
60569,-0.312960873,-0.628666742,-0.601248585,-0.560845717
60709,-0.312960873,-0.663668758,-0.601248585,-0.560845717
60783,-0.312960873,-0.700010321,-0.598313127,-0.560845717
60945,-0.312960873,-0.673320081,-0.595819008,-0.560845717
60998,-0.312960873,-0.610530442,-0.575925835,-0.560845717
61094,-0.312960873,-0.57693885,-0.56612544,-0.560845717
61239,-0.312960873,-0.566575025,-0.568777698,-0.560845717
61294,-0.312960873,-0.557312027,-0.571055536,-0.560845717
61392,-0.311963264,-0.557312027,-0.506235105,-0.560845717
61541,-0.232497004,-0.557243209,-0.434749875,-0.560845717
61578,-0.159736256,-0.513027566,-0.337920536,-0.560845717
61702,-0.07253062,-0.414911671,-0.217188821,0.042160208
61807,0.014345503,-0.35035713,-0.140552758,0.042233513
61893,0.074620115,-0.331274973,-0.091693232,0.042233513
62038,0.095498813,-0.331274973,-0.039775003,0.042233513
62096,0.107041507,-0.331274973,0.017131563,0.042233513
62202,0.107041507,-0.331274973,0.041005224,0.042233513
62312,0.107041507,-0.331274973,0.070417831,0.042233513
62392,0.107041507,-0.316132754,0.117138458,0.045716156
62477,0.107041507,-0.25337213,0.142385123,0.056392595
62623,0.107041507,-0.210864681,0.142385123,0.069816437
62684,0.107041507,-0.184995165,0.142385123,0.068258395
62764,0.100211961,-0.182534722,0.142385123,0.061281047
62909,0.090284935,-0.182922182,0.142385123,0.030072495
62995,0.083521567,-0.156710562,0.142385123,0.00830195
63142,0.083521567,-0.102118157,0.142385123,-0.063392153
63217,0.083521567,-0.063723125,0.131407627,-0.125968958
63280,0.083521567,-0.064920326,0.09794572,-0.143223104
63424,0.083521567,-0.068207754,0.087617983,-0.180510728
63522,0.083521567,-0.080392983,0.087617983,-0.189975045
63559,0.083521567,-0.082431372,0.087190438,-0.127973583
63724,0.083521567,-0.082431372,0.063887112,-0.127973583
63782,0.539366077,-0.082431372,6.86E-04,-0.104875022
63889,0.539366077,-0.082431372,-0.072945259,-0.082886516
63987,0.539366077,-0.088580109,-0.148863355,-0.077005865
64094,0.539366077,-0.115698565,-0.249053126,-0.077005865
64219,0.539366077,-0.146152607,-0.284426583,-0.077005865
