Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe1, Horseshoe2, Horseshoe4 
5813,0.934348835,0.896514287,0.751756017,0.7698508,0.333613162,0.232440088,-0.543626153,-0.274977779,0.112579055,-0.258325785,-0.429029387,-0.361372053,0.542336131,1.144142772,-0.242067344,0.984677561,-0.034151008,-0.831400502,-0.394047124,-0.549128035,-0.034151008,-0.831400502,-0.394047124,-0.549128035,1,1,1,1
5896,0.982053264,0.939283776,0.710631508,0.643187314,0.333613162,0.232440088,-0.554179924,-0.323975443,0.112579055,-0.258325785,-0.43523816,-0.38838247,0.542336131,1.144142772,-0.316960827,1.009267427,-0.034151008,-0.831400502,-0.405968217,-0.563754048,-0.034151008,-0.831400502,-0.405968217,-0.563754048,1,1,1,1
6046,0.942573736,0.955733579,0.797815466,0.845519896,0.333613162,0.232440088,-0.554179924,-0.412768832,0.112579055,-0.258325785,-0.445117237,-0.422497222,0.542336131,1.144142772,-0.374671171,1.036589379,-0.034151008,-0.831400502,-0.427506249,-0.584353241,-0.034151008,-0.831400502,-0.427506249,-0.584353241,1,1,1,1
6108,0.937638795,0.921188992,0.81591025,0.908029149,0.333613162,0.232440088,-0.557201228,-0.528005052,0.112579055,-0.253245149,-0.456147776,-0.453395092,0.542336131,1.15887006,-0.403376404,1.067020038,-0.034151008,-0.848106553,-0.455977622,-0.605493046,-0.034151008,-0.848106553,-0.455977622,-0.605493046,1,1,1,1
6232,0.921188992,0.860324719,0.825780132,1.026467734,0.333613162,0.232440088,-0.559719962,-0.581533115,0.112579055,-0.245346735,-0.468081159,-0.477388807,0.542336131,1.166451942,-0.403803813,1.10010443,-0.034151008,-0.852094924,-0.486880763,-0.624816483,-0.034151008,-0.852094924,-0.486880763,-0.624816483,1,1,1,1
6295,0.916254051,0.858679739,0.847164876,1.021532793,0.322842957,0.232440088,-0.578960372,-0.617934482,0.1199884,-0.234685306,-0.482211145,-0.497945805,0.501961612,1.162226497,-0.389166967,1.133095657,-0.048804998,-0.847741367,-0.516081889,-0.644974071,-0.048804998,-0.847741367,-0.516081889,-0.644974071,1,1,1,1
6402,0.929413894,0.853744798,0.834005034,0.990278166,0.28914124,0.223302593,-0.585235234,-0.642987116,0.114083906,-0.222887145,-0.499332409,-0.524214455,0.4456433,1.141065155,-0.370493515,1.15818356,-0.072403605,-0.846076099,-0.542337426,-0.674820261,-0.072403605,-0.846076099,-0.542337426,-0.674820261,1,1,1,1
6548,0.888289385,0.840584955,0.822490171,0.924478952,0.195501858,0.18301163,-0.605625356,-0.665868685,0.091041855,-0.211650932,-0.516544082,-0.56275689,0.365268702,1.099168048,-0.354533799,1.161137541,-0.104274991,-0.858037257,-0.567635465,-0.718706455,-0.104274991,-0.858037257,-0.567635465,-0.718706455,1,1,1,1
6612,0.909674129,0.829070093,0.802750407,0.899804247,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
6669,0.901449228,0.822490171,0.804395387,0.86690464,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
6814,0.91131911,0.832360053,0.807685348,0.858679739,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
6909,0.916254051,0.830715073,0.787945584,0.853744798,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
6961,0.906384169,0.822490171,0.807685348,0.850454837,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
7128,0.884999424,0.824135152,0.804395387,0.850454837,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
7182,0.899804247,0.827425112,0.801105427,0.840584955,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
7323,0.881709464,0.842229935,0.81591025,0.843874916,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
