Packet time, Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe TP10, Horseshoe FP1, Horseshoe FP2 
1438795065147589,224513,0.8274251122699084,0.7928805250777253,0.8340050336398481,0.8274251122699084,-0.3707224310004738,-0.255519381694218,-0.10924284042858834,-0.9705834108247439,-0.2659868470504623,-0.12151658254256353,-0.646125546929121,-1.0500501452014634,-0.229337553759117,-0.003534476918783577,0.5928580749721206,-0.10877436899427759,-0.8703134862399293,-0.4352566619590717,-1.3341930434100404,-1.5650322773230816,-0.8703134862399293,-0.4352566619590717,-1.3341930434100404,-1.5650322773230816,1,1,1,1
1438795065211417,224579,0.835650013982333,0.8340050336398481,0.8389399746673027,0.8323600532973632,-0.3707224310004738,-0.2714498791304781,-0.10672713634575391,-0.9978678149136633,-0.29318798270370644,-0.12591162674583206,-0.6706108147126079,-1.0648196236020615,-0.24907486176454743,0.019737130081023332,0.5854442026919302,-0.11524133180930977,-0.8860538976935198,-0.4555094042382319,-1.3470330737971565,-1.5726130899664716,-0.8860538976935198,-0.4555094042382319,-1.3470330737971565,-1.5726130899664716,1,1,1,1
1438795065297486,224734,0.8504548370646972,0.8619696994620916,0.8274251122699084,0.8422299353522726,-0.3707224310004738,-0.2714498791304781,-0.1041819391088369,-0.9823022721681818,-0.3237212289595911,-0.13729942987966012,-0.7173940211678098,-1.0825447928846172,-0.24921194338911798,0.039703210263536286,0.5635875046430421,-0.12356424011440124,-0.8976620040562767,-0.4755610675850564,-1.3668301098115743,-1.578778031764184,-0.8976620040562767,-0.4755610675850564,-1.3668301098115743,-1.578778031764184,1,1,1,1
1438795065432240,224801,0.8405849550097877,0.8603247191196066,0.8290700926123933,0.8389399746673027,-0.3712663360596228,-0.2714498791304781,-0.1041819391088369,-0.9787700407043586,-0.35252680736556846,-0.15707912692717313,-0.7919326300060117,-1.1031823639865102,-0.24052063893714656,0.05117308552469284,0.5137472062565143,-0.13867249603133597,-0.9043957805762883,-0.49152456634065034,-1.3980608985239646,-1.5858655394333854,-0.9043957805762883,-0.49152456634065034,-1.3980608985239646,-1.5858655394333854,1,1,1,1
1438795065518233,224957,0.8372949943248179,0.8422299353522726,0.835650013982333,0.8323600532973632,-0.3712663360596228,-0.2714498791304781,-0.10986508424396894,-0.9787700407043586,-0.37319976245532527,-0.18438077190708962,-0.8908950118319298,-1.1252411262623168,-0.23292324010987875,0.05098495765930619,0.42478654470111427,-0.16460871487926687,-0.909223745925006,-0.5013724410625571,-1.4420572540009684,-1.5972978166085243,-0.909223745925006,-0.5013724410625571,-1.4420572540009684,-1.5972978166085243,1,1,1,1
1438795065656612,225020,0.8290700926123933,0.8290700926123933,0.8340050336398481,0.8340050336398481,-0.3712663360596228,-0.2714498791304781,-0.21044968622492574,-0.9787700407043586,-0.38179009363643873,-0.21659238258131575,-0.9974033670702763,-1.1459204411820803,-0.2306646941786237,0.041599786138947416,0.29228671284025054,-0.19862814318463962,-0.9148089885024641,-0.5046330587066942,-1.4927520111137023,-1.6172357171227925,-0.9148089885024641,-0.5046330587066942,-1.4927520111137023,-1.6172357171227925,1,1,1,1
1438795065738208,225104,0.8340050336398481,0.8323600532973632,0.8307150729548782,0.8372949943248179,-0.3712663360596228,-0.2714498791304781,-0.40785980839548075,-0.970204346393607,-0.3804062714083129,-0.2509986957887494,-1.083189110836762,-1.1623843169399242,-0.22517261899692775,0.0361263874417293,0.12897974976836526,-0.2270391479338819,-0.9193481422047309,-0.502377687006171,-1.5393688866865287,-1.6447774115184914,-0.9193481422047309,-0.502377687006171,-1.5393688866865287,-1.6447774115184914,1,1,1,1
1438795065801791,225259,0.8323600532973632,0.8389399746673027,0.8405849550097877,0.8340050336398481,-0.3712663360596228,-0.2714498791304781,-0.682499923647128,-0.970204346393607,-0.3756012815781434,-0.28586709161671525,-1.1301900487620933,-1.1760485716961582,-0.20473139501744778,0.05047246309813862,-0.025879848456476135,-0.23937744222860793,-0.9181379700425701,-0.49778096194997407,-1.5731470467734228,-1.6751794786467662,-0.9181379700425701,-0.49778096194997407,-1.5731470467734228,-1.6751794786467662,1,1,1,1
1438795065957074,225320,0.8372949943248179,0.8372949943248179,0.8405849550097877,0.8389399746673027,-0.3712663360596228,-0.2714498791304781,-0.7791830292682076,-0.9728156044814185,-0.37380675317409773,-0.318164328466684,-1.148231240705243,-1.1900487267833029,-0.1738089737568202,0.08827591469898025,-0.12097338326475252,-0.24445802472251507,-0.9088255935607656,-0.49637796089048764,-1.5919643925263844,-1.6985460252888585,-0.9088255935607656,-0.49637796089048764,-1.5919643925263844,-1.6985460252888585,1,1,1,1
1438795066040015,225408,0.8257801319274235,0.8274251122699084,0.8422299353522726,0.835650013982333,-0.3712663360596228,-0.2714498791304781,-0.7791830292682076,-0.9865870997020577,-0.3766540051325571,-0.318164328466684,-1.1578401330261139,-1.2057456533630846,-0.14779124042974173,0.08827591469898025,-0.1510194339820474,-0.26375544617812297,-0.8943694002001341,-0.49637796089048764,-1.5990426454760718,-1.7051878302876045,-0.8943694002001341,-0.49637796089048764,-1.5990426454760718,-1.7051878302876045,1,1,1,1
